MARCA;CATEGORIA;TRANSMISION;KILOMETRAJE;COLOR;VALOR MERCADO;PRECIO VENTA
Kia;SUV;automatic;16639;white;20500;21500
Kia;SUV;automatic;9393;white;20800;21500
BMW;Sedan;automatic;1331;gray;31900;30000
Volvo;Sedan;automatic;14282;white;27500;27750
BMW;Sedan;automatic;2641;gray;66000;67000
Nissan;Sedan;automatic;5554;gray;15350;10900
BMW;Sedan;automatic;14943;black;69000;65000
Chevrolet;Sedan;automatic;28617;black;11900;9800
Audi;Sedan;automatic;9557;white;32100;32250
Chevrolet;Convertible;automatic;4809;red;26300;17500
Audi;Sedan;automatic;14414;black;47300;49750
Kia;Sedan;automatic;2034;red;15150;17700
Ford;Sedan;automatic;5559;white;15350;12000
Kia;SUV;automatic;14634;silver;20600;21500
Chevrolet;Sedan;automatic;15686;blue;13900;10600
Nissan;Sedan;automatic;11398;black;14750;14100
Audi;SUV;automatic;7983;white;37100;40000
Chevrolet;Coupe;automatic;13441;black;17750;17000
BMW;Convertible;automatic;8819;black;68000;67200
Chevrolet;Sedan;automatic;14538;silver;24300;7200
BMW;Sedan;automatic;25969;black;34200;30000
Chevrolet;Convertible;automatic;33450;black;20100;14700
Audi;Sedan;automatic;5826;gray;24000;23750
BMW;Convertible;automatic;10736;black;67000;65000
Hyundai;Sedan;automatic;9281;silver;15150;8500
Volvo;Wagon;automatic;16506;brown;32100;32500
Volvo;Wagon;automatic;12725;beige;32300;32500
BMW;SUV;automatic;11278;gray;50400;34000
Chevrolet;Coupe;automatic;11874;gray;22200;19500
Chevrolet;Sedan;automatic;37888;gray;11600;11500
Audi;SUV;automatic;9606;white;48600;47500
Kia;SUV;automatic;13757;red;20600;20750
Audi;Coupe;automatic;5875;black;46500;44500
Kia;SUV;automatic;12862;gray;20700;21000
Buick;Sedan;;19531;gray;15000;9200
Chevrolet;SUV;automatic;11426;black;57300;59900
BMW;Sedan;automatic;16360;black;65000;64250
BMW;Sedan;automatic;9027;white;30200;27500
Cadillac;Coupe;automatic;4436;gray;49400;44000
Hyundai;Sedan;automatic;9208;silver;15700;10000
BMW;Convertible;automatic;13205;white;66000;65000
Volvo;Wagon;automatic;11846;white;31300;30000
BMW;SUV;automatic;379;white;54800;51700
Volvo;Wagon;automatic;12242;black;31200;30000
Chevrolet;Sedan;automatic;40661;silver;13050;13000
Acura;Sedan;automatic;9051;gray;22700;21250
Kia;SUV;automatic;13878;silver;20600;20750
Volvo;Wagon;automatic;10906;silver;31500;30000
Nissan;Sedan;automatic;10678;gray;15150;11600
BMW;Sedan;automatic;7305;white;65000;66100
Nissan;Sedan;automatic;4314;black;15500;11500
Kia;Sedan;automatic;5304;blue;39500;40000
Kia;SUV;automatic;10357;silver;20700;20500
Chevrolet;Sedan;automatic;6105;silver;16600;9800
Lexus;SUV;automatic;7770;white;41200;38400
Kia;SUV;automatic;5214;white;19400;19300
BMW;Sedan;automatic;7766;gray;71000;77250
Kia;Sedan;automatic;9684;white;41000;41000
Audi;Sedan;automatic;31;white;24200;17300
Nissan;Sedan;manual;1608;purple;10900;11000
Chevrolet;Coupe;automatic;9914;black;22500;20600
Hyundai;Sedan;automatic;7879;silver;13800;10500
Kia;SUV;automatic;14176;white;20600;21250
Chevrolet;Coupe;automatic;17594;gray;21500;19600
Audi;Sedan;automatic;1906;gray;24100;25750
BMW;Convertible;automatic;8037;black;67000;65000
Nissan;Hatchback;automatic;5773;red;12050;9000
Audi;Sedan;automatic;32918;black;62000;50000
BMW;SUV;automatic;19689;white;23700;26500
BMW;Sedan;automatic;12172;black;67000;66000
Chevrolet;Coupe;automatic;20595;red;20800;13600
Volvo;Wagon;automatic;13623;silver;28400;28000
Chevrolet;Coupe;automatic;13606;black;21400;13000
BMW;Sedan;automatic;37752;white;62000;58000
Kia;SUV;automatic;9161;silver;20800;22250
Kia;SUV;automatic;11001;white;20700;22500
Buick;SUV;automatic;14599;gray;31000;24100
BMW;Sedan;automatic;13386;white;67000;65000
BMW;Sedan;automatic;15161;white;66000;65801
Audi;Coupe;automatic;3996;silver;41400;34250
Hyundai;Sedan;automatic;10551;red;13850;10600
BMW;Coupe;automatic;18152;white;31000;39750
Kia;SUV;automatic;13452;silver;20600;21500
Chevrolet;Sedan;automatic;37938;black;12950;13700
Chevrolet;Sedan;automatic;39623;blue;13350;13200
Chevrolet;Crew Cab;;8742;white;34000;34000
Kia;SUV;automatic;16348;gray;20500;20500
Hyundai;Sedan;automatic;9750;blue;13700;10000
Hyundai;Sedan;automatic;3367;silver;13900;13200
Acura;SUV;automatic;21523;white;39500;41500
Ford;Sedan;automatic;4205;white;14700;12000
BMW;Convertible;automatic;8891;silver;68000;67200
Chevrolet;Sedan;automatic;8154;silver;14150;10000
Chevrolet;Crew Cab;automatic;6726;black;26900;30250
Chevrolet;Sedan;automatic;36771;silver;13000;13600
Kia;SUV;automatic;9552;burgundy;20800;21000
Chevrolet;Sedan;automatic;10673;red;14150;3300
Volvo;Wagon;automatic;14806;white;30700;30000
Chevrolet;Coupe;manual;7924;white;17850;18500
Nissan;Sedan;automatic;12752;gray;14600;9500
Hyundai;Sedan;automatic;6759;blue;13800;5800
BMW;Sedan;automatic;12292;white;46300;46500
BMW;Convertible;automatic;15727;white;66000;65000
Kia;SUV;automatic;13711;white;20600;21750
Cadillac;SUV;automatic;8683;white;33500;30000
BMW;SUV;automatic;4503;white;57500;57250
Hyundai;Sedan;automatic;7800;silver;13800;9000
Chevrolet;Sedan;;40393;gray;11450;11700
Chevrolet;Crew Cab;automatic;9685;white;31700;30000
Kia;SUV;automatic;10615;burgundy;20700;20500
Kia;SUV;automatic;13031;purple;20600;20750
